2019-07-08 11:48:14.979 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557694979; nextExpiration=1562557694964; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:14.979 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557694979; nextExpiration=1562557694964; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:15.995 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557695995; nextExpiration=1562557695979; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:15.995 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557695995; nextExpiration=1562557695979; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:17.010 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557697010; nextExpiration=1562557696995; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:17.010 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557697010; nextExpiration=1562557696995; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:18.026 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557698026; nextExpiration=1562557698010; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:18.026 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557698026; nextExpiration=1562557698010; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:19.042 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557699042; nextExpiration=1562557699026; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:19.042 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-0] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557699042; nextExpiration=1562557699026; keyCount=0; hasEvents=false; eval=false
2019-07-08 11:48:20.057 [DEBUG] [http-nio-127.0.0.1-8083-ClientPoller-1] org.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1562557700057; nextExpiration=1562557700042; keyCount=0; hasEvents=false; eval=false
